id_profesor;D1_LID1;D9_SO4;D2_GE1;D9_SO2;D2_GE3;D8_AP4;D6_APD1;D5_INT2;D7_TC1;D4_EE2;D8_AP1;D3_COM2;D8_AP3;D2_GE4;D9_SO1;D2_GE2;D9_SO3;D1_LID2;D3_COM1;D8_AP2;D4_EE1;D7_TC2;D5_INT1;D6_APD2;P1_EJP1;P3_ASO4;P1_EJP3;P2_AAP1;P2_AAP3;P3_ASO1;P3_ASO3;P1_EJP2;P1_EJP4;P2_AAP2;P3_ASO2;P2_AAP4;A1_CF1;A7_ASR2;A2_INT1;A6_DIS2;A3_ESF1;A5_COP2;A4_COA1;A1_CF2;A5_COP1;A4_COA2;A6_DIS1;A2_INT2;A7_ASR1;A3_ESF2;F1_COP1;F2_RES1;F4_INT2;F3_CON2;F1_COP2;F2_RES2;F4_INT1;F3_CON1;CRD1;CRSS1;CRP1;CRA1;CRR1;CRF1;CRCC1;CRD2;CRP2;CRA2;CRF2;CRCC2;CRR2;CRSS2
20020001;5;5;4;3;5;4;5;1;5;2;4;1;4;2;4;1;5;2;5;5;5;4;5;1;5;2;5;5;1;4;2;3;1;4;1;2;5;1;4;3;5;1;4;1;5;2;1;1;4;4;4;2;2;1;1;1;4;4;5;5;4;5;4;4;5;5;5;5;4;5;5;5
20020002;3;4;4;4;3;5;4;3;4;4;4;4;4;3;4;3;4;3;3;3;3;4;3;4;5;5;4;1;2;3;1;4;3;3;2;5;5;3;4;5;4;3;4;5;5;1;3;4;4;4;4;4;4;4;3;4;4;4;4;5;2;5;4;4;3;4;5;5;4;4;4;4
20020003;5;5;5;4;4;4;4;2;5;3;3;3;3;5;5;1;3;3;5;3;5;3;5;3;5;5;3;2;3;2;3;4;4;3;3;3;3;3;3;3;4;3;5;3;3;3;5;4;4;4;4;4;4;4;5;3;3;4;3;4;5;5;4;4;4;4;4;4;4;4;4;4
20020004;3;4;4;4;3;4;3;4;5;3;3;4;3;4;3;3;3;4;3;3;3;3;4;3;3;5;2;5;3;2;2;3;5;3;5;3;3;4;3;4;4;3;2;4;4;3;3;4;2;4;2;3;4;3;5;5;3;2;4;4;2;3;3;3;3;3;2;4;5;4;3;4
20020005;4;4;4;4;4;2;2;3;5;2;4;2;3;2;4;2;3;2;3;2;4;1;4;3;4;5;3;4;4;3;4;2;4;4;2;2;5;1;4;2;3;3;5;2;3;2;4;2;5;3;4;4;5;2;5;2;3;3;4;3;3;5;4;4;3;4;4;5;4;4;3;4
20020006;3;5;4;5;4;5;4;4;3;4;3;4;3;2;4;4;3;3;4;4;3;5;3;3;3;2;3;3;4;3;4;3;2;4;5;3;5;3;4;4;2;4;3;3;4;4;4;4;3;5;2;2;5;3;5;2;2;3;4;3;2;4;4;4;4;4;3;4;2;4;4;4
20020007;2;3;3;5;2;1;5;5;3;5;4;5;4;5;5;5;5;3;2;4;5;3;4;1;3;5;4;1;5;2;1;4;4;5;5;3;5;4;3;5;4;4;4;3;5;5;4;2;4;4;5;5;5;5;4;1;5;5;2;5;2;5;5;5;2;2;5;2;4;5;5;5
20020008;5;4;4;3;4;4;5;4;4;2;5;2;4;3;5;2;5;2;5;2;5;3;5;2;5;3;4;3;4;4;4;2;2;3;2;2;3;4;4;4;4;3;4;2;5;2;4;2;3;3;2;4;4;3;5;3;2;3;4;4;4;5;3;5;4;5;5;5;5;4;3;3
20020009;3;3;4;4;4;3;4;3;5;4;3;3;4;3;3;3;4;4;3;4;3;3;4;3;4;3;3;3;2;3;3;3;4;4;3;4;2;4;3;4;2;4;4;4;4;2;2;4;4;4;4;4;3;3;4;4;3;3;4;3;4;4;4;4;3;4;4;3;3;3;3;3
20030001;4;5;5;3;4;3;3;4;5;2;4;3;4;2;5;1;4;3;4;2;4;3;3;1;5;2;4;4;5;5;5;2;2;2;2;1;5;1;5;2;4;1;5;1;5;2;4;1;4;2;4;5;2;3;4;2;4;4;4;4;4;5;5;5;5;5;4;5;4;5;5;5
20030002;3;3;3;4;2;1;2;5;1;2;3;4;3;3;5;4;4;4;1;2;2;2;1;2;5;5;2;3;2;2;1;4;4;3;5;4;4;2;2;5;3;3;2;3;3;4;1;5;5;4;4;4;4;3;4;3;3;4;3;4;3;4;4;3;2;2;2;4;3;3;3;2
20030003;1;2;4;2;4;4;1;5;5;3;5;5;3;2;2;3;5;1;1;4;2;3;1;3;2;5;3;5;3;3;5;3;2;5;2;3;5;4;4;2;4;3;3;2;5;2;4;2;4;5;3;5;3;3;5;3;4;5;3;1;2;5;3;4;1;1;3;3;4;3;2;3
20030004;3;4;2;3;2;3;4;5;3;2;3;5;3;4;3;4;3;3;2;3;3;4;3;3;4;4;2;4;4;3;3;4;4;4;3;4;4;2;3;5;4;4;4;4;4;2;2;2;4;4;4;4;2;3;3;3;4;4;2;2;4;4;2;4;2;2;3;4;4;3;3;3
20030005;2;3;2;4;3;5;2;2;3;4;2;4;2;4;3;3;1;5;1;4;3;3;2;3;3;5;2;2;2;3;2;4;3;3;5;4;3;4;3;1;3;2;4;3;4;2;4;3;4;3;2;3;4;3;5;3;2;3;3;3;2;4;3;3;3;3;3;3;2;3;3;3
20030006;2;3;3;3;3;3;3;3;3;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;2;2;4;2;3;3;2;3;2;3;2;2;2;3;2;2;4;4;5;4;5;4;5;3;3;3;3;3;2;3;3;3;2;2;5;2;5;4;3;4;2;3;3;3;3
20030007;1;3;2;3;3;1;1;5;1;5;3;5;1;2;4;3;4;5;1;2;1;3;1;5;4;5;1;3;2;2;3;3;1;4;1;3;4;2;2;1;2;1;2;2;2;2;5;4;2;5;2;3;2;2;5;3;2;1;1;2;3;4;4;4;2;1;1;4;3;4;4;2
20030008;2;5;2;3;3;4;2;4;2;3;3;4;2;3;3;2;3;4;3;3;1;3;1;3;4;5;2;4;2;3;1;4;3;3;4;4;5;2;3;2;5;2;5;1;3;3;3;2;4;2;3;3;3;3;5;3;3;3;3;3;2;5;5;3;2;2;4;4;3;3;4;2
20030009;4;3;2;4;3;3;4;3;4;3;3;3;2;1;5;2;4;2;1;5;3;2;1;3;3;4;3;4;4;3;4;2;4;2;3;3;4;2;2;4;2;2;4;3;4;4;4;4;4;4;3;3;3;5;4;3;3;3;3;2;3;3;1;4;4;3;4;2;3;4;1;1
20030010;3;4;5;4;5;4;4;3;5;2;3;1;3;2;4;2;5;4;2;3;4;2;4;1;4;2;4;5;4;4;4;1;1;1;2;2;3;2;4;1;4;1;5;2;4;2;4;2;4;2;4;4;3;3;2;2;2;3;2;4;4;4;5;4;4;4;5;4;4;4;4;3
20030011;4;4;3;4;3;4;4;4;1;1;3;2;3;5;2;4;3;2;4;4;4;1;2;5;4;5;3;4;1;2;4;4;2;3;5;2;5;1;2;5;3;4;5;2;5;4;3;5;5;4;4;4;4;1;5;3;4;4;1;3;1;4;1;4;3;2;3;4;3;3;1;3
20030012;5;5;4;4;4;2;2;1;1;4;4;4;4;2;4;3;4;3;2;3;4;4;3;3;5;1;3;3;3;3;3;1;3;3;3;1;4;3;2;3;4;4;2;5;3;4;2;3;3;3;1;3;3;3;4;3;3;2;3;2;2;3;4;3;2;2;3;4;3;2;3;2
20030013;2;5;3;5;3;2;2;4;4;2;2;4;2;1;5;4;5;4;2;5;2;2;2;2;2;4;2;4;4;2;2;2;2;4;4;4;5;2;2;2;3;2;4;2;4;5;5;5;5;5;2;3;5;5;5;1;4;1;2;2;2;3;2;3;3;2;2;2;1;5;4;2
20040001;3;4;4;5;4;5;4;4;4;4;2;2;2;4;4;2;4;3;3;2;4;4;4;2;4;5;4;2;4;4;2;2;3;3;2;2;4;2;2;5;3;4;3;2;4;3;2;4;4;5;4;3;4;4;5;3;2;3;4;4;3;4;4;4;4;3;3;4;3;4;4;4
20040002;5;3;3;4;5;3;3;3;3;3;4;3;3;3;3;3;4;3;4;3;3;3;4;3;5;3;3;3;4;3;3;3;3;3;3;3;5;2;4;3;4;2;4;3;4;3;4;3;4;4;3;4;3;3;3;4;3;4;5;4;4;5;4;4;4;4;4;4;4;4;4;4
20040003;3;3;3;4;3;3;4;4;3;3;4;4;3;2;3;3;3;4;2;4;4;4;4;3;2;5;2;3;2;4;2;4;4;4;5;4;4;2;4;4;3;2;4;2;4;1;3;2;4;5;3;3;3;3;4;3;3;3;3;3;2;4;3;4;3;2;2;4;3;3;3;3
20040004;5;4;4;4;4;3;5;2;4;1;5;1;4;2;5;4;4;4;4;4;4;4;4;2;4;4;4;4;4;3;4;4;2;2;2;4;4;2;3;3;3;2;4;1;4;2;4;3;3;4;3;3;3;3;4;4;4;4;4;4;3;4;5;5;5;4;4;4;4;4;5;4
20040005;3;5;4;3;2;2;3;2;2;4;2;2;2;1;4;2;4;5;3;4;3;2;5;2;3;4;3;5;5;4;3;2;1;2;4;1;2;4;1;5;2;3;4;5;3;4;2;4;2;4;2;2;4;4;5;3;5;2;2;2;1;3;2;3;2;2;3;3;1;4;2;2
20040006;3;4;3;4;3;2;4;2;3;2;2;3;3;4;2;2;3;4;2;3;2;3;3;3;3;5;3;2;3;2;2;4;3;4;5;4;4;2;3;5;3;1;3;2;4;3;1;5;4;5;2;2;5;5;5;4;3;3;4;3;2;3;3;3;2;3;3;2;2;4;2;3
20040007;4;4;5;2;4;2;5;2;4;2;2;2;3;1;5;1;5;2;5;2;4;1;5;3;5;1;4;4;5;4;4;1;2;3;2;1;5;1;4;4;4;1;4;2;4;2;2;2;4;2;2;3;4;3;4;4;2;2;4;4;2;2;4;3;4;4;2;4;2;3;4;4
20040008;5;5;5;5;5;5;5;1;5;1;4;1;4;1;5;1;4;2;4;1;4;1;5;1;4;2;3;5;5;4;5;1;1;5;1;1;4;1;3;2;4;4;4;1;4;1;4;2;4;4;2;3;4;4;3;4;3;4;5;5;5;5;5;5;5;5;5;5;2;5;5;5
20040009;3;3;3;4;3;4;4;2;3;3;4;3;4;2;4;3;3;3;3;2;3;2;4;2;4;4;3;4;4;3;2;3;3;4;4;2;4;2;3;3;3;3;4;3;4;2;3;3;4;3;3;3;4;3;5;3;2;3;3;3;4;4;4;4;3;3;3;4;2;3;3;3
20040010;5;5;5;1;4;5;4;2;4;2;4;2;4;2;5;3;3;2;4;2;5;3;5;2;3;4;3;5;3;2;3;2;3;3;4;2;4;2;5;2;4;4;4;3;4;2;4;2;4;3;4;3;4;3;3;3;4;3;5;4;3;5;5;4;4;5;3;4;3;5;5;4
20050001;5;5;5;5;4;5;5;3;4;5;5;4;4;1;5;1;5;1;5;1;4;5;4;1;5;5;5;4;5;4;5;1;5;4;5;1;5;4;4;2;4;4;5;4;5;4;5;4;4;5;5;4;4;4;1;1;5;1;4;5;4;5;5;5;5;4;4;5;1;5;5;4
20050002;5;4;5;2;5;1;3;4;5;1;2;1;2;1;2;1;4;1;5;3;5;1;3;1;5;4;5;5;4;5;4;4;1;2;3;3;5;2;5;1;4;3;4;2;5;1;5;2;3;3;2;4;4;3;5;2;2;4;4;4;5;5;4;4;5;4;5;4;3;4;4;4
20050003;5;5;5;2;4;4;5;4;5;2;2;1;5;4;5;4;5;2;4;4;4;4;4;1;5;4;5;5;5;5;4;1;2;1;4;2;5;4;4;1;5;2;5;2;4;2;5;2;5;4;2;2;4;5;4;2;4;2;5;5;5;5;5;5;5;5;5;5;3;4;5;5
20050004;5;5;4;4;2;5;4;4;4;4;4;1;5;2;5;1;5;1;4;4;4;1;4;1;5;1;5;5;1;2;4;2;1;2;2;2;4;2;5;2;5;2;5;2;4;1;4;2;4;2;4;2;4;3;5;2;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5
20060001;3;5;3;4;4;1;2;5;4;4;5;5;1;5;3;4;3;5;1;3;3;4;1;3;4;5;3;4;4;5;1;3;4;2;5;3;5;1;3;4;4;2;2;4;4;3;1;5;3;5;1;4;5;4;5;2;4;2;4;4;3;5;2;4;5;1;1;4;4;3;1;3
20060002;3;4;3;5;1;2;1;4;3;4;2;4;2;4;3;3;4;5;3;4;3;4;3;5;4;4;2;4;3;2;3;4;4;4;4;4;5;5;3;4;4;3;4;2;4;3;3;4;1;5;1;3;5;4;5;4;4;4;2;1;1;5;1;4;4;2;2;5;2;3;2;2
20060003;3;4;4;5;5;1;5;4;5;1;3;1;5;3;5;1;5;1;5;1;3;1;5;1;5;3;4;4;2;4;3;1;2;1;3;1;4;1;3;2;4;2;5;1;4;1;4;3;2;4;4;4;3;3;4;2;3;4;4;4;4;5;2;3;4;4;4;4;3;4;2;4
20060004;4;5;4;4;5;2;4;1;3;2;1;1;3;1;5;1;4;1;4;2;4;2;5;1;5;3;4;4;4;3;4;1;1;3;2;1;3;2;4;4;4;1;4;2;4;2;2;1;5;5;2;2;5;4;5;2;2;2;4;3;4;4;4;4;4;4;4;4;2;4;4;4
20060005;4;4;4;4;4;2;4;3;2;3;3;4;3;4;3;2;4;1;2;2;2;2;4;4;5;4;4;5;1;4;4;2;2;2;2;2;1;1;4;2;4;4;4;2;4;2;4;3;4;4;4;2;4;4;5;4;4;2;1;4;4;4;4;3;4;3;3;4;3;4;4;3
20060006;5;5;5;5;5;5;5;1;5;1;3;1;3;1;5;1;3;1;5;3;4;3;5;1;5;3;4;5;4;3;3;2;2;2;2;1;3;4;4;4;4;2;4;5;4;2;3;3;3;3;2;3;3;4;2;4;3;3;2;3;5;4;5;5;5;5;5;4;1;5;5;5
20060007;5;4;5;4;5;4;5;5;5;1;4;1;2;1;5;1;5;1;5;2;5;3;5;2;5;4;4;4;4;5;1;1;1;1;3;1;4;2;5;2;4;1;5;3;5;1;2;1;5;2;5;4;2;3;4;3;1;3;5;5;5;4;5;3;5;5;4;5;5;5;5;5
20070001;2;2;3;3;3;3;4;1;4;3;3;4;2;2;4;2;4;3;2;4;4;2;4;3;4;2;3;3;3;4;3;2;2;3;2;2;3;4;2;4;2;2;4;5;5;3;1;2;2;4;2;3;3;4;4;3;3;3;2;2;3;3;4;2;2;2;2;4;2;2;3;2
20070002;4;5;3;4;3;4;1;2;2;3;3;2;3;3;3;3;2;2;2;2;3;3;2;1;3;1;2;3;2;1;2;2;2;2;2;2;1;1;3;3;3;3;3;1;1;5;4;2;1;3;5;1;5;2;2;2;2;2;1;3;2;5;3;4;3;1;2;5;4;3;3;3
20070003;2;5;4;2;3;1;4;3;3;4;4;3;3;3;2;2;4;4;3;2;3;2;5;2;1;2;3;4;4;3;3;2;3;2;2;1;4;1;2;2;2;2;3;2;4;3;1;2;4;4;2;3;2;4;4;2;2;2;2;4;4;4;3;4;3;2;4;4;3;2;2;3
20070004;2;3;4;4;4;1;4;4;2;4;4;5;3;2;4;2;4;4;2;4;1;4;3;4;4;4;3;3;2;2;2;1;5;5;4;1;4;1;2;5;2;4;2;1;3;4;1;4;4;5;3;2;4;4;5;3;2;2;2;4;1;4;3;2;1;1;2;5;2;1;3;4
20070005;4;5;4;2;4;4;5;3;4;3;4;4;4;3;4;1;5;4;4;2;5;4;3;2;4;3;3;4;4;4;4;5;3;4;3;3;4;4;3;4;3;2;4;2;4;3;3;3;4;3;3;4;3;2;4;3;4;3;4;3;3;3;3;4;4;4;4;3;3;3;4;3
20070006;2;4;3;2;4;1;4;1;4;2;5;5;5;2;5;1;2;4;2;1;4;2;3;2;4;5;4;4;5;2;1;2;1;4;2;5;4;2;2;5;2;2;5;1;5;2;2;4;4;5;2;2;4;3;4;4;2;3;3;2;1;5;4;4;2;3;1;5;4;2;4;2
20070007;3;5;4;4;4;4;5;2;4;2;4;3;4;4;4;2;4;4;4;4;4;3;4;2;5;5;2;4;4;3;1;2;2;2;3;3;4;2;1;3;2;4;4;3;3;2;2;4;3;5;3;4;4;3;4;3;4;3;4;4;2;3;3;3;2;4;3;4;3;3;3;4
20070008;3;4;4;4;3;4;4;4;4;3;4;3;3;2;3;1;5;5;3;5;3;2;3;2;4;3;2;4;3;3;1;2;4;2;4;3;3;4;2;5;2;4;4;4;2;4;2;4;2;4;2;3;4;4;5;4;2;4;2;2;2;2;2;2;2;2;2;3;2;2;2;2
20070009;1;5;3;3;5;3;2;3;3;5;5;5;1;1;4;3;5;5;3;1;2;3;3;3;5;4;4;4;4;5;4;1;3;5;4;1;5;1;2;5;4;1;5;3;5;2;1;3;1;5;2;2;5;3;5;3;3;3;1;3;3;5;3;4;1;1;1;5;3;2;3;3
20070010;2;4;3;1;2;4;5;2;3;1;4;5;4;1;4;2;4;5;1;1;4;5;4;1;5;5;4;5;1;5;2;1;2;1;2;1;4;2;2;4;4;1;5;1;5;1;2;4;4;5;2;2;5;4;4;2;4;3;1;4;4;5;4;4;1;1;2;5;2;1;1;4
20080001;1;2;1;5;1;3;1;3;1;2;1;5;2;5;2;5;2;5;1;3;1;2;2;5;5;1;3;4;4;3;2;3;2;2;2;2;3;3;3;2;2;3;4;4;4;2;4;3;3;5;2;2;4;5;5;3;2;1;1;2;3;4;1;1;3;1;3;4;2;2;2;3
20080002;1;2;1;5;1;1;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;5;2;5;4;5;5;5;1;1;1;2;1;5;5;3;1;5;1;5;1;5;1;5;3;5;5;4;5;2;3;4;3;4;3;1;1;4;5;2;5;1;1;5;5;5;1;2;2
20080003;1;2;1;5;1;1;3;3;1;4;3;5;3;4;2;5;1;5;1;3;2;5;3;3;4;2;4;5;4;4;5;2;1;3;1;2;4;4;2;1;2;1;5;1;5;2;4;3;5;4;4;3;3;2;2;2;3;3;3;4;5;5;3;4;2;1;4;4;4;4;2;3
20090001;3;5;4;4;4;2;5;1;5;3;2;1;3;1;5;1;5;1;5;4;4;3;5;2;4;1;4;5;5;5;4;1;1;1;1;1;4;2;2;1;2;3;4;3;2;2;4;4;4;4;4;3;3;3;4;3;3;3;5;1;5;1;5;1;1;1;1;1;3;5;1;1
20090002;2;5;4;5;3;5;3;1;5;1;3;1;4;1;5;1;5;1;5;1;5;1;5;1;5;4;4;5;5;3;5;2;1;2;1;1;3;4;4;4;4;2;4;4;5;2;3;1;4;1;2;2;5;1;5;1;4;3;5;5;5;5;4;5;5;5;5;5;5;4;5;5
20100001;1;3;1;1;3;3;1;5;1;5;3;5;3;5;1;5;3;5;1;3;1;5;1;5;3;1;1;2;2;2;1;1;1;5;5;3;5;1;3;1;3;1;4;1;5;1;4;3;5;3;3;3;4;3;3;3;4;3;1;1;3;5;1;3;1;1;3;1;3;1;1;1
20100002;4;4;4;4;4;4;4;1;4;2;1;4;3;2;4;1;4;3;4;3;4;2;4;2;4;2;4;4;1;2;4;2;1;1;2;2;4;2;4;2;4;2;4;2;4;1;4;1;4;4;4;4;2;2;2;2;4;4;5;5;4;4;4;4;5;5;4;5;5;5;4;5
20100003;1;4;3;2;3;1;1;1;3;4;2;2;2;2;2;5;3;5;2;5;1;4;5;4;4;5;3;3;2;2;2;2;3;4;4;2;4;4;4;2;3;4;3;2;3;4;3;4;2;4;1;1;3;1;1;4;2;2;1;3;4;4;3;2;1;1;2;5;5;2;2;1
20100004;1;5;4;3;4;2;2;3;2;2;2;5;1;5;3;4;1;5;2;5;5;2;5;2;5;5;1;4;2;4;1;4;4;4;4;1;5;1;3;4;4;3;2;3;1;3;1;1;5;3;4;2;1;5;5;1;1;3;1;5;2;5;1;4;5;1;3;5;3;1;5;5
20100005;2;4;4;4;4;3;4;2;2;4;3;4;2;3;2;4;4;4;2;2;4;2;5;2;1;2;4;2;4;2;2;4;4;4;2;4;3;4;2;4;2;2;4;2;4;4;4;4;4;4;2;2;4;4;4;4;2;2;2;2;2;4;2;4;2;4;2;2;2;2;2;2
20100006;2;4;1;5;2;4;4;4;5;5;5;5;2;5;4;5;2;5;1;5;2;5;4;2;5;4;4;4;4;4;5;4;2;1;2;2;5;2;4;1;4;1;5;1;5;1;5;1;5;4;5;4;5;2;4;2;2;4;2;2;1;5;4;4;2;1;4;2;2;5;2;2
20100007;2;5;3;2;4;1;5;1;4;2;2;4;4;3;1;3;4;2;4;2;3;1;3;2;4;2;3;4;2;4;5;2;3;1;2;4;4;2;5;1;5;1;5;2;5;2;4;1;5;3;5;4;1;4;2;1;4;4;4;4;3;4;4;4;4;4;2;4;1;4;2;4
20100008;1;4;2;2;3;3;3;1;2;2;2;1;1;2;2;2;3;3;2;3;3;2;4;3;5;3;2;4;4;4;2;1;4;1;5;3;4;1;4;5;2;2;4;1;4;1;1;4;4;2;4;4;4;2;2;3;2;2;2;3;1;4;1;3;3;3;4;4;4;4;1;3
20100009;5;5;5;4;5;3;5;4;5;1;5;1;4;3;5;1;4;2;5;5;4;3;5;1;5;4;5;5;4;3;4;1;3;5;3;2;4;4;3;2;4;2;5;4;5;3;4;3;4;3;3;4;3;5;3;3;3;3;5;5;4;5;5;5;5;5;5;5;3;5;5;4
20110001;1;3;2;1;2;1;4;4;2;5;3;5;3;3;2;4;2;5;2;3;1;4;2;2;3;5;3;3;2;2;3;2;5;2;5;3;3;2;5;4;2;4;4;3;3;3;3;5;4;5;4;3;4;5;5;4;5;3;1;3;2;2;3;3;1;1;2;4;1;4;3;3
20110002;3;4;3;3;3;3;4;3;3;3;4;3;4;3;4;3;4;5;3;3;3;3;3;2;3;4;3;4;3;3;3;2;3;2;4;1;2;4;2;3;2;3;4;4;3;2;4;4;3;5;3;3;4;4;4;3;3;2;3;4;3;4;4;4;3;3;3;4;3;4;3;3
